template,climate_zone_set,intended_surface_type,standards_construction_type,building_category,construction,orientation,minimum_percent_of_surface,maximum_percent_of_surface,assembly_maximum_u_value,u_value_includes_interior_film_coefficient,u_value_includes_exterior_film_coefficient,asssembly_maximum_f_factor,assembly_maximum_c_factor,assembly_maximum_solar_heat_gain_coefficient,assembly_minimum_vt_shgc,annotation
90.1-2004,ClimateZone 1,ExteriorWindow,Metal framing (curtainwall/storefront),Semiheated,U 1.22 SHGC 0.45 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorDoor,Swinging,Nonresidential,Typical Insulated Metal Door,,,,0.7,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorDoor,NonSwinging,Nonresidential,Typical Overhead Door,,,,1.45,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorDoor,Swinging,Residential,Typical Insulated Metal Door,,,,0.7,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorDoor,NonSwinging,Residential,Typical Overhead Door,,,,1.45,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorDoor,Swinging,Semiheated,Typical Insulated Metal Door,,,,0.7,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorDoor,NonSwinging,Semiheated,Typical Overhead Door,,,,1.45,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,Mass,Nonresidential,Typical Insulated Exterior Mass Floor,,,,0.137,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,SteelFramed,Nonresidential,Typical Insulated Steel Framed Exterior Floor,,,,0.052,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,WoodFramed,Nonresidential,Typical Insulated Wood Framed Exterior Floor,,,,0.051,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,Mass,Residential,Typical Insulated Exterior Mass Floor,,,,0.107,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,SteelFramed,Residential,Typical Insulated Steel Framed Exterior Floor,,,,0.052,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,WoodFramed,Residential,Typical Insulated Wood Framed Exterior Floor,,,,0.051,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,Mass,Semiheated,Typical Insulated Exterior Mass Floor,,,,0.322,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,SteelFramed,Semiheated,Typical Insulated Steel Framed Exterior Floor,,,,0.35,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,WoodFramed,Semiheated,Typical Insulated Wood Framed Exterior Floor,,,,0.282,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorFloor,Mass,Adiabatic,Adiabatic ExteriorFloor,,,0,,,,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Metal Building,Nonresidential,Typical Insulated Metal Building Roof,,,,0.065,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,IEAD,Nonresidential,Typical IEAD Roof,,,,0.063,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Attic and Other,Nonresidential,Typical Wood Joist Attic Floor,,,,0.034,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,IEAD,Residential,Typical IEAD Roof,,,,0.063,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Attic and Other,Residential,Typical Wood Joist Attic Floor,,,,0.027,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,IEAD,Semiheated,Typical IEAD Roof,,,,0.218,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Attic and Other,Semiheated,Typical Wood Joist Attic Floor,,,,0.081,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Metal Building,Residential,Typical Insulated Metal Building Roof,,,,0.065,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Metal Building,Semiheated,Typical Insulated Metal Building Roof,,,,0.167,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorRoof,Attic and Other,Adiabatic,Adiabatic Roof,,,0,,,,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Mass,Nonresidential,Typical Insulated Exterior Mass Wall,,,,0.58,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Metal Building,Nonresidential,Typical Insulated Metal Building Wall,,,,0.113,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,SteelFramed,Nonresidential,Typical Insulated Steel Framed Exterior Wall,,,,0.124,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,WoodFramed,Nonresidential,Typical Insulated Wood Framed Exterior Wall,,,,0.089,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Mass,Residential,Typical Insulated Exterior Mass Wall,,,,0.151,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Metal Building,Residential,Typical Insulated Metal Building Wall,,,,0.113,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,SteelFramed,Residential,Typical Insulated Steel Framed Exterior Wall,,,,0.124,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,WoodFramed,Residential,Typical Insulated Wood Framed Exterior Wall,,,,0.089,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Mass,Semiheated,Typical Insulated Exterior Mass Wall,,,,0.58,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Metal Building,Semiheated,Typical Insulated Metal Building Wall,,,,0.184,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,SteelFramed,Semiheated,Typical Insulated Steel Framed Exterior Wall,,,,0.352,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,WoodFramed,Semiheated,Typical Insulated Wood Framed Exterior Wall,,,,0.292,TRUE,TRUE,,,,,
90.1-2004,ClimateZone 2,ExteriorWall,Mass,Adiabatic,Adiabatic Wall,,,0,,,,,,,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Nonresidential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Nonresidential,U 1.22 SHGC 0.17 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.17,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Nonresidential,U 1.22 SHGC 0.17 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.17,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Nonresidential,U 1.22 SHGC 0.17 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.17,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.39 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,0.39,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.39 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,0.39,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Residential,U 1.22 SHGC 0.39 Simple Glazing Window,,1,10,1.22,TRUE,TRUE,,,0.39,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,10.001,20,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,20.001,30,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (all other),Residential,U 1.22 SHGC 0.25 Simple Glazing Window,,30.001,40,1.22,TRUE,TRUE,,,0.25,,
90.1-2004,ClimateZone 2,ExteriorWindow,Nonmetal framing (all),Residential,U 1.22 SHGC 0.17 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.17,,
90.1-2004,ClimateZone 2,ExteriorWindow,Metal framing (curtainwall/storefront),Residential,U 1.22 SHGC 0.17 Simple Glazing Window,,40.001,100,1.22,TRUE,TRUE,,,0.17,,
