name,intended_surface_type,standard_construction_type,insulation_layer,skylight_framing,material_1,material_2,material_3,material_4,material_5,material_6
U 0.29 SHGC 0.40 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.29 SHGC 0.40 Simple Glazing,,,,,
U 0.30 SHGC 0.40 Dbl LoE (e2-.1) Tint 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.32 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.32 SHGC 0.36 Simple Glazing,,,,,
U 0.33 SHGC 0.11 Dbl LoE Elec Ref Colored 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,ECREF-2 COLORED 6MM,AIR 13MM,LoE SPEC SEL CLEAR 6MM Rev,,,
U 0.33 SHGC 0.40 Dbl LoE (e2-.1) Tint 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.33 SHGC 0.45 Trp LoE Film (77) Clr 3mm/6mm Air,ExteriorWindow,Metal framing (all other),,,CLEAR 3MM,AIR 6MM,COATED POLY-77,AIR 6MM,CLEAR 3MM,
U 0.34 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.34 SHGC 0.38 Simple Glazing,,,,,
U 0.34 SHGC 0.40 Dbl LoE (e2-.1) Tint 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.34 SHGC 0.45 Dbl LoE (e2-.2) Clr 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,PYR B CLEAR 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.35 SHGC 0.22 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.35 SHGC 0.22 Simple Glazing,,,,,
U 0.35 SHGC 0.24 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.35 SHGC 0.24 Simple Glazing,,,,,
U 0.35 SHGC 0.26 Dbl Ref-C-M Clr 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,REF C CLEAR MID 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.36 SHGC 0.35 Dbl LoE Spec Sel Tint 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,LoE SPEC SEL TINT 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.36 SHGC 0.36 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.36 SHGC 0.36 Simple Glazing,,,,,
U 0.36 SHGC 0.38 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.36 SHGC 0.38 Simple Glazing,,,,,
U 0.38 SHGC 0.26 Dbl Ref B-H Tint 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,REF B TINT HI 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.38 SHGC 0.30 Dbl Ref-B-H Clr 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.39 SHGC 0.32,ExteriorWindow,Metal framing (all other),,,Theoretical Glass 347,,,,,
U 0.39 SHGC 0.38,ExteriorWindow,Metal framing (all other),,,Theoretical Glass 297,,,,,
U 0.40 SHGC 0.43 Dbl LoE Spec Sel Clr 3mm/6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,LoE SPEC SEL CLEAR 3MM,AIR 6MM,CLEAR 6MM,,,
U 0.40 SHGC 0.45,ExteriorWindow,Metal framing (all other),,,ECABS-2 BLEACHED 6MM,AIR 6MM,LoE SPEC SEL CLEAR 6MM Rev,,,
U 0.42 SHGC 0.25 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.42 SHGC 0.25 Simple Glazing,,,,,
U 0.42 SHGC 0.34 Simple Glazing Window,ExteriorWindow,Metal framing (all other),,,U 0.42 SHGC 0.34 Simple Glazing,,,,,
U 0.42 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.42 SHGC 0.40 Dbl LoE (e2-.1) Tint 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,LoE TINT 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.42 SHGC 0.45 Dbl Ref-D Clr 6mm/13mm Arg,ExteriorWindow,Metal framing (all other),,,REF D CLEAR 6MM,ARGON 13MM,CLEAR 6MM,,,
U 0.43 SHGC 0.26 Dbl Ref-B-H Clr 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,REF B CLEAR HI 6MM,AIR 13MM,CLEAR 6MM,,,
U 0.43 SHGC 0.29 Dbl LoE Spec Sel Tint 6mm/6mm Air,ExteriorWindow,Metal framing (all other),,,LoE SPEC SEL TINT 6MM,AIR 6MM,CLEAR 6MM,,,
U 0.44 SHGC 0.20 Dbl Ref-B-H Tint 6mm/13mm Air,ExteriorWindow,Metal framing (all other),,,REF B TINT HI 6MM,AIR 13MM,CLEAR 6MM,,,
