Automotive facility,WholeBuilding,Automotive facility,WholeBuilding
Space Function,Hospital corr. >= 2.4m-sch-H,Space Function,Corridor/Transition area - hospital-sch-H
Space Function,Hospital corr. >= 2.4m-sch-I,Space Function,Corridor/Transition area - hospital-sch-I
,,Space Function,Corridor/Transition area - hospital-sch-J
,,Space Function,Corridor/Transition area - hospital-sch-K
Space Function,Library - reading,Space Function,Library reading area
Space Function,Library - cataloging,Space Function,Library stacks
Space Function,Library - stacks,Space Function,Library stacks
Space Function,Mfg - detailed,Space Function,Manufacturing facility detailed manufacturing area
Space Function,Mfg - equipment,Space Function,Manufacturing facility equipment room
Space Function,Mfg - bay H > 15m,Space Function,Manufacturing facility extra high bay area (> 15 m floor-to-ceiling height)
Space Function,Mfg - 7.5 <= bay H <= 15m,Space Function,Manufacturing facility high bay area (7.5 to 15 m floor-to-ceiling height)
Space Function,Mfg - bay H < 7.5m,Space Function,Manufacturing facility low bay area (< 7.5 m floor-to-ceiling height)
Space Function,Mfg - corr. < 2.4m-sch-A,Space Function,Corridor/Transition area - manufacturing facility-sch-A
Space Function,Mfg - corr. < 2.4m-sch-B,Space Function,Corridor/Transition area - manufacturing facility-sch-B
Space Function,Mfg - corr. < 2.4m-sch-C,Space Function,Corridor/Transition area - manufacturing facility-sch-C
Space Function,Mfg - corr. < 2.4m-sch-D,Space Function,Corridor/Transition area - manufacturing facility-sch-D
Space Function,Mfg - corr. < 2.4m-sch-E,Space Function,Corridor/Transition area - manufacturing facility-sch-E
Space Function,Mfg - corr. < 2.4m-sch-F,Space Function,Corridor/Transition area - manufacturing facility-sch-F
Space Function,Mfg - corr. < 2.4m-sch-G,Space Function,Corridor/Transition area - manufacturing facility-sch-G
Space Function,Mfg - corr. < 2.4m-sch-H,Space Function,Corridor/Transition area - manufacturing facility-sch-H
Space Function,Mfg - corr. < 2.4m-sch-I,Space Function,Corridor/Transition area - manufacturing facility-sch-I
,,Space Function,Corridor/Transition area - manufacturing facility-sch-J
,,Space Function,Corridor/Transition area - manufacturing facility-sch-K
Space Function,Mfg - corr. >= 2.4m-sch-A,Space Function,Corridor/Transition area - manufacturing facility-sch-A
Space Function,Mfg - corr. >= 2.4m-sch-B,Space Function,Corridor/Transition area - manufacturing facility-sch-B
Space Function,Mfg - corr. >= 2.4m-sch-C,Space Function,Corridor/Transition area - manufacturing facility-sch-C
Space Function,Mfg - corr. >= 2.4m-sch-D,Space Function,Corridor/Transition area - manufacturing facility-sch-D
Space Function,Mfg - corr. >= 2.4m-sch-E,Space Function,Corridor/Transition area - manufacturing facility-sch-E
Space Function,Mfg - corr. >= 2.4m-sch-F,Space Function,Corridor/Transition area - manufacturing facility-sch-F
Space Function,Mfg - corr. >= 2.4m-sch-G,Space Function,Corridor/Transition area - manufacturing facility-sch-G
Space Function,Mfg - corr. >= 2.4m-sch-H,Space Function,Corridor/Transition area - manufacturing facility-sch-H
Space Function,Mfg - corr. >= 2.4m-sch-I,Space Function,Corridor/Transition area - manufacturing facility-sch-I
,,Space Function,Corridor/Transition area - manufacturing facility-sch-J
,,Space Function,Corridor/Transition area - manufacturing facility-sch-K
Space Function,Museum - exhibition,Space Function,Museum general exhibition area
Space Function,Museum - restoration,Space Function,Museum restoration room
Space Function,Post office sorting,Space Function,Post office sorting area
Space Function,Religious - fellowship hall,Space Function,Religious building fellowship hall
Space Function,Religious - pulpit/choir,Space Function,Religious building worship/pulpit/choir area
Space Function,Dress./fitt. - performance arts,Space Function,Retail facility dressing/fitting room
Space Function,Retail - dressing/fitting,Space Function,Retail facility dressing/fitting room
Space Function,Retail - mall concourse,Space Function,Retail facility mall concourse
,,Space Function,Space designed to ANSI/IES RP-28 chapel (used primarily by residents)
,,Space Function,Space designed to ANSI/IES RP-28 recreation room (used primarily by residents)
Space Function,Sports arena - court c1,Space Function,Sports arena playing area class I facility(4)
Space Function,Sports arena - court c2,Space Function,Sports arena playing area class II facility(4)
Space Function,Sports arena - court c3,Space Function,Sports arena playing area class III facility(4)
Space Function,Sports arena - court c4,Space Function,Sports arena playing area class IV facility(4)
Space Function,Sports arena - ring,Space Function,Sports arena playing area class I facility(4)
Space Function,Transp. concourse,Space Function,Transportation facility airport concourse
Space Function,Transp. baggage,Space Function,Transportation facility baggage/carousel area
Space Function,Transp. counter,Space Function,Transportation facility terminal ticket counter
Space Function,Warehouse - med/blk,Space Function,Warehouse storage area medium to bulky palletized items
Space Function,Warehouse - med/blk - refrigerated,Space Function,Warehouse storage area medium to bulky palletized items
Space Function,Warehouse - med/blk2,Space Function,Warehouse storage area medium to bulky palletized items
Space Function,Warehouse - med/blk2 - refrigerated,Space Function,Warehouse storage area medium to bulky palletized items
Space Function,Warehouse - fine,Space Function,Warehouse storage area small hand-carried items(4)
Space Function,Warehouse - fine - refrigerated,Space Function,Warehouse storage area small hand-carried items(4)
Space Function,Return Plenum,Space Function,Return Plenum
,,Space Function,- undefined -
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-A
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-B
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-C
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-D
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-E
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-F
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-G
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-H
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-I
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-J
,,Space Function,Corridor/Transition area - space designed to ANSI/IES RP-28 (and used primarily by residents)-sch-K
